,points
"SEMYONOV, VLADIMIR S",3073
"REEB, JAMES J.",3073
"RIVERS, LUCIUS MENDEL",3071
"TURNER, CARL C",3071
"Snowdon, Earl Of",3070
"Ellsberg, Daniel",3070
"MOERDLER, CHARLES GERARD",3069
"Bing, Rudolf",3069
"CAAMANO DENO, FRANCISCO",3068
J BOCK,3068
"WIGNER, EUGENE PAUL",3068
"SOBLEN, ROBERT A",3068
"CLAY, CASSIUS",3067
"FORD, HENRY 2D",3066
"WAGNER, ROBERT F.",3066
"ACHESON, DEAN G.",3066
"ONGANIA, JUAN CARLOS",3066
"RUSSELL, RICHARD BREVARD",3065
"FAWZI, MOHAMMED",3065
"OAKES, JOHN BERTRAM",3064
Chiang Kai-shek,3064
"GINSBERG, MITCHELL IRVING",3064
"PASTORE, JOHN O.",3064
"JOHNSON, PAUL B JR.",3063
"JULIANA, QUEEN OF THE NETHERLANDS",3063
"EPSTEIN, SHELDON - TEKELCH, MAX",3062
"DOAR, JOHN M.",3062
S HARNICK,3062
"Bhutto, Zulfikar Ali",3062
"Stewart, Michael",3062
"PAUL I, KING OF GREECE",3062
"MURPHY, CHARLES S.",3062
"ROSS, ARTHUR M.",3061
"Ross, David",3061
"RIPPON, GEOFFREY",3061
"CAPLIN, MORTIMER M.",3059
THANAT KHOMAN,3059
"WESTMORELAND, WILLIAM CHILDS",3059
LIU SHAO-CHI,3058
"SHARP, ULYSSES S GRANT JR.",3057
"Truman, Harry S",3056
"Morgenthau, Robert M",3056
"DOUGLAS, WILLIAM O.",3055
"Giscard D'Estaing, Valery",3055
"WILLIAMS, EDWARD BENNETT",3054
"MCCONE, JOHN A.",3054
"Bell, David Elliott",3053
"FUKUDA, TAKEO",3052
"Dewey, Thomas Edmund",3052
"FORD, GERALD RUDOLPH JR.",3052
"CALLACHAN, JAMES",3051
"GRAYSON, C JACKSON JR.",3051
"GOLDWATER, BERRY M.",3051
"Motley, Constance Baker",3050
"LEARY, HOWARD REGIS",3048
"Chisholm, Shirley",3048
"KIESINGER, KURT-GEORG",3048
"SCHILLER, KARL",3047
"BRUCE, DAVID K E",3047
"SYMINGTON, STUART",3047
"Daniel, Clifton",3047
"ELLENDER, ALLEN J",3047
"DILLON, DOUGLAS",3045
"Nickerson, Eugene H",3044
"POPOVICH, PAVEL ROMANOVICH",3044
"VINSON, CARL",3044
"Bayh, Birch",3042
"LOPEZ MATEOS, ADOLFO",3038
Kennedy Family,3036
"Cleaver, Eldridge",3034
"Dodd, Thomas J",3033
"SORENSEN, THEODORE C.",3025
"SCHEUER, JAMES H",3015
"ABEL, I W.",3003
"Pulaski, Casimir",2998
"SCRANTON, WILLIAM W.",2996
"SCOTT, HUGH D",2986
"SHULTZ, GOERGE PRATT",2942
"WRIGHT, JOHN JOSEPH",2565
"Poher, Alain",2563
SCHIRRA WALTER M JR.,2563
"MACLEISH, ARCHIBALD",2563
"MERRIAM, STUART HAMILTON",2563
"von Braun, Wernher",2562
"YAHYA KHAN, AGHA MOHAMMAD",2562
"GLENN, JOHN HERSCHEL JR.",2561
G RAGNI,2561
"O'Casey, Sean",2561
"Wilson, Woodrow",2560
"CERNAN, EUGENE ANDREW",2560
"ALLON, YIGAL",2560
"BOSCH, JUAN D.",2560
"Sarnoff, David",2559
NGUYEN CHANH THI,2559
"Medina, Ernest L",2559
"DUKE, CHARLES M JR",2559
QUEEN MARY,2559
"SLAYTON, DONALD K.",2558
"BEA, AUGUSTIN",2558
"MARCUS, JAMES L.",2558
"DUMPSON, JAMES R.",2558
"ESHKOL, LEVI",2557
"ESTES, BILLIE SOL",2557
"BERNHARD ZU LIPPE-BIESTERFELD, PRINCE OF THE NETHERLANDS",2557
TRI QUANG,2557
"ADDONIZIO, HUGH J.",2557
"Kirk, Grayson",2557
"CARLOS HUGO OF BOURBON-PARMA, PRINCE",2557
"LECHUGA HEVIA, CARLOS MANUEL",2556
"EHRENBURG, ILYA",2556
J RADO,2556
"BOWKER, ALBERT HOSMER",2556
"KHRUSHCHEV, NIKITA S.",2556
LON NOL,2556
"WINGATE, LIVINGSTON LEROY",2556
"KODSI, KAREN, EL",2556
"MASARYK, THOMAS GARRIGUE",2556
"O'GRADY, JOSEPH E.",2555
"Asturias, Miguel Angel",2555
"KANELLOPOULOS, PANAYOTIS",2555
TENG HSIAO-PING,2555
"Cogen, Charles",2555
"VERWOERD, HENDRIK FRENSCH",2554
"DEAN, PATRICK",2554
"Rahman, Abdul",2554
"DEARDEN, JOHN F",2554
"CORDIER, ANDREW WELLINGTON",2554
"GRISSOM, VIRGIL I",2553
"HERTER, CHRISTIAN A.",2553
"MONSERRAT, JOSEPH",2553
"SOAMES, CHRISTOPHER",2553
"STEVENSON, ADLAI EWING 3D",2553
PHAN KHOC SUU,2553
"KUZNETSOV, ANATOLY V.",2553
"BITAR, SALAH EL-",2552
"GIARDINO, ALFRED A.",2552
"MORTON, THRUSTON B",2552
"RAMSEY, ARTHUR MICHAEL",2552
"SALAZAR, ANTONIO DE OLIVEIRA",2552
"FAULKNER, WM",2552
"BUTLER, RICHARD AUSTEN",2552
"MOYERS, BILL D",2552
"BROSIO, MANLIO",2552
"SMITH, MARGARET CHOSE",2552
"FULBRIGHT, JAMES WM.",2552
"BELLA, AHMED BEN",2552
"LYND, STAUGHTON",2551
"YORTY, SAMUEL W",2551
G MACDERMOT,2551
"DAVIS, BENJAMIN O JR",2551
"GARELIK, SONFORD D",2551
"Rhee, Syngman",2551
"JOUHAUD, EDMOND",2551
"HUSAK, GUSTAV",2551
"BROWN, NATHAN",2551
NGUYEN XUAN OANH,2551
"KEARING, SAMUEL J JR.",2551
"Novotny, Antonin",2551
"DEMPSEY, JOHN N",2550
"McDonnell, Vincent D",2550
"PAHLEVI, MOHAMMED RIZA, SHAH OF IRAN",2550
"Douglas, William O",2550
"QUAISON-SACKEY, ALEX",2550
"SMITH, GERARD C",2549
"GILPATRIC, ROSWELL LEAVITT",2549
TRAN THIEN KHIEM,2549
"Shapiro, Rose",2549
"BUNCHE, RALPH J",2549
"FRONDIZI, ARTURO",2548
"ATHENAGORAS I, PATRIARCH",2548
"SMITH, STEPHEN E.",2548
"Helms, Richard",2548
"ONASSIS, ARISTOTLE S",2548
"BREWER, ALBERT P",2548
"SINGH, SWARAN",2548
"DAANE, J DEWEY",2547
"DANIEL, ELBERT CLIFTON JR",2547
"HAYDEN, THOMAS E.",2547
"CALLAGHAN, LEONARD JAMES",2546
"ALPHAND, HERVE",2546
"Eichmann, Adolf",2546
"SEGNI, ANTONIO",2546
"MALIK, ADAM",2545
