,points
NATIONAL LIBERATION MOVEMENT ISSUE,3996
PEACE PRIZES,3996
WESTERN MULTILATERAL RELATIONS,3994
JOHNSON TOUR,3994
COUNTY,3990
AERONAUTICS,3990
TWO-PARTY SYSTEM - PARTIES REALIGNMENT,3984
ETHICS AND CORRUPTION - GOLDWATER'S 'MORALITY' ISSUE,3984
PARTY ORGN REFORMS,3980
FIREMEN,3980
"ARBITRATION, CONCILIATION AND MEDIATION",3978
REACTION AND TRIBUTES IN US,3972
THIRD PARTY MOVES,3960
DEATHS AND MEMORIALS,3960
COMMUNISM ISSUE - CONSERVATISM ISSUE - EXTREMISM ISSUE - SOCIALISM ISSUE,3958
GEN COMMENT - CAMPAIGN OUTLOOK - 'WHITE BACKLASH' ISSUE,3956
FRENCH-UNION OF SOVIET SOCIALIST REPUBLICS,3952
"REPUB PARTY - CONSERVATIVES LED BY GOLDWATER, PRES NOMINEE, TAKE CONTROL",3912
CONSERVATISM ISSUE - EXTREMISM ISSUE - COMMUNISM ISSUE - SOCIALISM ISSUE,3910
"TWO-PARTY SYSTEM, THIRD-PARTY MOVEMENTS, PARLIES REALIGNMENT",3880
Cocoa,3078
HOBART AND WILLIAM SMITH COLLEGES (COLLEGES OF THE SENECA),3078
Parades,3076
Mennonite Churches,3076
Hosiery,3076
Volleyball,3076
Parachutes and Parachute Jumping,3076
Trademarks and Trade Names,3076
Typhoons,3074
FENCING,3074
BLUEBELLE (YACHT),3074
"DEFENSE ANALYSES, INSTITUTE FOR",3074
INTERIOR DECORATION,3074
Margarine,3074
AQUARIUMS AND OCEANARIUMS,3074
DEATH,3074
ALCOHOL POISONING,3074
US,3074
Astrology,3074
PESTS AND PESTICIDES,3074
GROWTH,3072
Mayans,3072
"COPPER, BRAN AND BRONZE",3072
Bones,3072
COLONIES AND TERRITORIES (GENERAL),3072
PRESIDENTIAL ELECTION OF '72,3072
"BUILDING DEVELOPMENTS, MULTIPURPOSE",3072
MARKET RESEARCH,3072
Hormones,3072
MILITARY ACTION IN S VIETNAM - CASUALTY STATISTICS,3072
Falls,3072
PAN AMERICAN WORLD AIRWAYS SYSTEM,3072
RURAL PACIFICATION IN S VIETNAM,3072
DEMONSTRATIONS,3070
German Measles (Rubella),3070
Shoes and Boots,3070
FIRE INSURANCE,3070
FEDERAL VOTING RIGHTS LEGIS - SENATE DEBATE BEGINS,3070
US DOCTRINE OF 'NO SANCTUARY' FOR ENEMY PLANES,3068
Pandas,3068
"ANTHEM, NATIONAL",3068
"False Arrests, Convictions and Imprisonments",3068
Fur,3068
NATIONAL COMMITTEE,3068
Beauty Contests,3068
SPEECH AND SPEAKERS,3068
SHIP PROPULSION (GEN),3066
MARINER 8 AND MARINER 9,3066
BIOSATELLITE 3,3066
EFFECTS OF SCANDAL NOT INDEXED HERE,3066
VEHICLES,3066
"Fishing, Sport",3066
Grapes,3066
Bowling,3066
ESTATES,3066
"HEBREW CONGREGATIONS, UNION OF AMERICAN",3066
Stockpiling,3066
SHOES,3066
SOUL AT THE CENTER,3066
Asthma,3066
Uterus,3066
HISTORY AND CULTURE,3066
HOLIDAYS AND SPECIAL OCASIONS,3066
Meteors and Meteorites,3066
TELEGRAPHY,3066
LOAN‐SHARKING,3066
EICHMANN CASE,3064
WINTER SPORTS,3064
US POLICY AND REACTION TO IT - UN SEC GEN THANT TO CONTINUE PEACE EFFORTS - USSR REPORTED ROLE IN N VIETNAMESE '64 PEACE FEELER - WAR EFFECT ON USSR-US RELATIONS - AMB HARRIMAN TOURS TO REPORT ON MANILA CONF RESULTS - VERACITY OF JOHNSON ADMINISTRATION QUESTIONED BY US NEWSMEN - SEC RUSK IN S VIETNAM,3064
ARMED FORCES DAY,3064
FREEDOM OF SPEECH,3064
WAR CLAIMS AND COMPENSATION,3064
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE, INCLUDING NEGRO VOTER REGIS DRIVE IN ALABAMA - PROPOSED FED LEGIS TO GUARANTEE VOTING RIGHTS",3064
MARKETS,3064
ROUTES AND SERVICES,3064
CASTRO VISIT TO USSR,3064
Guarantees and Warranties,3064
ELECTRIC LIGHT END POWER,3064
Nerves and Nervous System,3064
FOREIGN FILMS IN US,3062
USSR SPACE PROGRAM (GENERAL),3062
COUGH MEDICATIONS,3062
S VIETNAM POLITICS - ELECTION FOR CONST ASSEMBLY,3062
2D AP 16 PAR,3062
FEDERAL VOTING RIGHTS LEGISLATION,3062
Tableware,3062
EXHIBITS,3060
CIVILIAN CASUALTIES IN S VIETNAM,3060
ACCREDITATION,3060
BOOKS PUBLISHED BY THE TIMES AND BOOKS BY STAFF MEMBERS,3060
COMMUNIST CHINESE-US RELATIONS - CHINESE LEADERS STRESS LIKELIHOOD OF WAR,3060
Davis Cup,3060
COMMUNIST ECONOMIC AND MILITARY AID TO N VIETNAM AND VIETCONG,3060
CHILD CUSTODY,3060
Mother's Day,3060
MEXICANS,3060
CENTRAL VALLEY RECLAMATION PROJECT (CALIF),3060
Mars (Planet),3060
AMATEUR OPERATORS,3060
Leather and Leather Goods,3060
PLUMBING AND PLUMBERS,3060
COLUMBIA EAGLE INCIDENT,3058
SUEZ-SINAI WAR (1956),3058
Canoes and Canoeing,3058
Laser (Light Amplification by Stimulated Emission of Radiation),3058
COMMUNISM ISSUE - CONSERVATISM ISSUE - EXTREMISM ISSUE,3058
BOSPORUS AND DARDANELLES,3058
FISH,3058
RACIAL PROBLEM AND SEGREGATION IN THE SOUTH - 2 WHITES CLEARED OF CHARGES IN CONNECTION WITH MURDER OF CIVIL RIGHTS WORKERS IN ALA - RESISTANCE TO NEGRO RIGHTS PROGRESS INCREASES IN SOUTH,3058
GAS (LLLUMINATING AND FUEL),3058
LUNAR LANDINGS (PROPOSED),3058
PROCUREMENT ABROAD,3058
WAR CRIMES,3058
READING TASTES AND HABITS,3058
RADIATION HAZARDS AND PROTECTION,3058
Philosophy,3058
"CAUSE, PREVENTION, DETENTION AND FIGHTING",3056
COMMUNISM ISSUE - THREATS TO DEMOCRACY - CONSERVATISM RISE - SEN SUBCOM PROBE OF ISSUE OF MIL IN POL,3056
SPEED RECORDS,3056
COTTONSEED,3056
BOMBING OF N VIETNAM - ESCALATION OF WAR WITH 1ST US AIR STRIKES ON FUEL TANKS ON OUTSKIRTS OF HANOI AND HAIPHONG,3056
Respiratory Diseases,3056
SEAT SALES,3056
Veterans Day (US),3056
EXPATRIATES,3056
DENTAL SUPPLIES AND EQUIPMENT,3056
MILITARY ART AND SCIENCE,3056
HARYOU-ACT (ORGN),3056
PRESIDENTIAL ELECTION OF '52,3056
FEATHERWEIGHT,3054
UN DECLARATION,3054
CONSUMER AFFAIRS,3054
"TUGBOATS AND OTHER HARBOR CRAFT, NY PORT",3054
BROOKLYN LINEAR CITY PROPOSAL,3054
ATS (APPLICATIONS TECHNOLOGY SATELLITE) PROJECT,3054
INTERNATIONAL COOPERATION AND VENTURES - USSR PROPOSES TREATY FOR PEACEFUL EXPLORATION - TALKS ON EUROPEAN PROGRAM CONTINUE,3054
CAMBODIAN-LAOTIAN INVOLVEMENT,3054
SEN SUBCOM PROBE OF ISSUE IN MIL IN POL - COMMUNIST ISSUE - THREATS TO DEMOCRACY - CONSERVATISM RISE,3054
JOHNSON-WILSON CONFS,3054
ISSUE OF 'NATL LIBERATION MOVEMENTS',3054
Reclamation of Land,3054
Bananas,3054
1ST JUNE 1 PAR,3052
AMER MOTORS,3052
Roller Skating,3052
Credit Cards,3052
Population,3052
DENOMINATIONAL INSTS,3052
OTHER DOMESTIC REATION TO WAR AND US POLICY,3052
NIAGARA FALLS AND RIVER DEVELOPMENT PROJECT,3052
BIRCH SOC MEMBERSHIP ISSUE,3050
CRIMES AND CRIMINALS,3050
DEAFNESS AND DEAF-MUTES,3050
EASTER PARADE,3050
COMMUNISM ISSUE - CONSERVATISM RISE - THREATS TO DEMOCRACY - ISSUE OF MIL IN POL,3050
"SOYUZ 6, SOYUZ 7 AND SOYUZ 8",3050
PRIME MINS CONF,3050
INTELLECTUALS,3050
GREEK,3050
ASSOCIATIONS,3050
RACIAL SEGREGATION IN THE SOUTH - INCIDENTS OF VIOLENCE - GRAND JURY RETURNS INDICTMENTS FOR VIOLATIONS OF CIVIL RIGHTS IN MISSISSIPPI - US SUPREME COURT HEARS FIRST CASES TESTING CIVIL RIGHTS ACT,3050
Cheese,3050
Coast Erosion,3050
EXPANSION,3048
MISCELLANEOUS MATERIAL ON US VETERANS AND SOLDIERS,3048
Birthdays,3048
CHORAL,3048
SOCIAL SERVICES DEPARTMENT,3048
POPE AND RC CH PEACE EFFORTS,3048
BOMBING OF N VIETNAM - USN ATTACKS ON COAST AND SHIPPING,3048
COOPING,3048
Malaria,3048
VOICE OF AMERICA,3048
OVERTIME AND PREMIUM PAY,3048
1ST N 18 PAR,3048
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GENERAL) - WHITE HOUSE CIVIL RIGHTS CONF SET,3046
Condominiums,3046
GEN EAST-WEST CONFRONTATION - WASHINGTON-MOSCOW COMMUNICATIONS LINK IMPROVED,3046
"NATIONAL LABORATORIES, PLANTS AND SITES",3046
COMMUNIST ISSUE - THREATS TO DEMOCRACY - CONSERVATISM RISE,3046
GROUP SHOWS,3046
CIA AID TO NEWS ORGANIZATIONS,3046
"AMENDMENTS, CONSTITUTIONAL",3044
"THANT VISITS TO FRANCE, GB AND USSR",3044
"CHRISTIAN LEADERSHIP CONFERENCE, SOUTHERN (SCLC)",3044
"ACTIVITIES OF GOV ROCKEFELLER, CANDIDATE FOR REPUB NOMINATION",3044
LAW VIOLATIONS (GEN),3044
"BUILDINGS AND HOMES, HISTORIC",3044
ADVERTISING AND CIRCULATION,3044
Cable Television,3044
SEPT 1 PAR,3044
LICENSES (DRIVERS),3042
CARRIER (AIRCRAFT) PROPULSION,3042
RELIGIOUS EDUCATION,3042
SMALL AND BIG BUSINESS,3042
MISSIONS AND MISSIONARIES,3042
Filibusters and Debate Curbs,3042
PENSIONS AND WELFARE PLANS,3042
Tires,3042
Tax Evasion,3040
FRENCH-USSR,3040
ORCHESTRAS AND BANDS,3040
MUNICIPALITIES,3040
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - BIRMINGHAM, ALA, DEMONSTRATIONS CONTINUE - MORE FED REGISTRARS SENT TO SOUTH",3040
MISC ITEMS - POPE'S AND OTHERS' MOVES FOR PEACE,3040
Lettuce,3040
OTHER DOMESTIC US REACTION TO WAR AND US POLICY,3040
Self-Incrimination,3040
STATE LIQUOR AUTHORITY PROBE (NY),3038
APPTMTS AND HONORS,3038
STATEMENTS ON WAR AT USSR COMMUNIST PARTY CONGRESS,3038
"INSANITY, LEGAL DEFINITION OF",3038
VIETNAM SEALIFT,3038
KHRUSHCHEV-EISENHOWER EXCH VISITS,3036
OCT 16 PAR,3036
REPUB,3036
JUNIOR AND COMMUNITY COLLEGES,3036
S VIETNAM POLITICS AND ECONOMY,3036
COLONIES AND TERRITORIES,3036
PROVERBS AND QUIPS,3036
SURPLUS,3036
METRICAL EVENTS,3034
PETROCHEMISTRY AND PETROCHEMICALS,3034
PORS ANDILLUS,3034
Radar,3034
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - NY TIMES SERIES ON SETBACKS IN CIVIL RIGHTS MOVEMENT - WHITE BACKLASH SEEN GROWING FACTOR,3034
POL-ECON COOPERATION,3032
JL 23 PAR,3030
WORLD GOVERNMENT (PROPOSED),3030
COMMUNIST CHINESE PROJECTS,3030
LOYALTY AND SECURITY,3030
QUARTER HORSE,3030
INTERNATL COOPERATION AND VENTURES,3030
AYUB KHAN VISIT TO US,3030
JEWISH,3030
FRENCH-US,3030
CAMPAIGN OUTLOOK - GEN COMMENT,3028
LIFE (PUB),3028
FRIGATE PROPULSION,3028
FOREIGN DIPLOMATIC CORPS,3028
COLLEGE AND GRADUATE EDUCATION,3028
BRITISH-FRENCH,3028
CITIZENSHIP RESPONSIBILITY,3028
GOV,3028
SIDELIGHTS ON STRIKE AND EFFECTS,3026
MISCELLANEOUS MATERIAL ON US PERSONNEL,3026
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - NEGRO LEADERS REMAIN DIVIDED OVER 'BLACK POWER' ISSUE - PROPOSE PRESENT MULTI-BILLION-DOLLAR 'FREEDOM BUDGET' TO END POVERTY,3026
"VISITORS, OFFICIAL",3026
DUAL JOBS,3026
CALIF COAST INCIDENT,3024
ELECTIONEERING MATERIALS,3024
IMPERIAL FAMILY,3024
RESIDENCE REQUIREMENTS,3024
ACCOUNTING AND BUDGET PROCEDURES REORGANIZATION,3024
STATE RETURNS,3024
DIST 39,3022
JENKINS CASE,3022
FREIGHT (GENERAL),3020
AUTOS,3020
ONE-MAN,3018
CITY PLANNING,3018
STABILIZATION RESERVE FUND,3018
ATOMIC ENERGY,3018
Engines,3018
1ST O 23 PAR,3018
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - US SUP CT RULES ON CONST OF POLL TAXES AND POWER OF JUSTICE DEPT TO TRY SUSPECTS IN CIVIL RIGHTS SLAYINGS,3016
SEPARATION-OF-POTTERS DOCTRINE,3016
AMBULANCE SERVICES,3016
1ST DEC 16 PAR,3014
CIVIL RIGHTS MOVEMENT AND RACIAL UNREST (GENERAL) - CIVIL RIGHTS ACT OF '64,3014
POWER PLANTS,3012
"ADMINISTRATION (COUNCIL, SECRETARY GENERAL, COMMITTEES)",3012
Drunken and Reckless Driving,3012
Diphtheria,3010
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - PRES JOHNSON WARNS CIVIL RIGHTS DEMONSTRATORS AGAINST VIOLATING RIGHTS OF OTHERS - 6 NEGRO LEADERS COMMENT ON RIGHTS TACTICS,3008
RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH - SEGREGATIONIST CANDIDATES DO WELL IN ELECTIONS - 'WHITE BACKLASH' STRONG,3006
"AFTERMATH OF RIOTS IN CHICAGO, PHILADELPHIA AND OTHER NORTHERN CITIES - FBI REPORT ON RIOTS",3006
ENGLISH,3004
ADENAUER VISIT TO US,3002
TERM,3000
"IMPEACHMENT, DEMANDS FOR",3000
"SIGNALS, SIGNS AND TRAFFIC CIRCLES",2998
PERSONALITY AND BEHAVIOR,2996
MILLER'S ACTIVITIES,2996
O 3 PAR,2994
WEATHER SATELLITES AND ROCKETS,2988
REAGAN ACTIVITIES AS DECLARED CANDIDATE,2986
"COLONIES, TRUSTEESHIPS AND DEPENDANT TERRITORIES",2986
4TH S 16 PAR,2986
SIRHAN PROSECUTION. OTHER DATA ON HIM,2982
"HARD‐CORE JOBLESS AND SLUM AREAS, PROGRAMS FOR",2980
LICENSES,2978
JEFFERSON-JACKSON DAY DINNERS,2974
HUMPHREY'S ACTIVITIES,2970
REPRESENTATION IN CONGRESS,2970
DELEGATES,2970
INTERNATIONAL AGENCIES AND ORGANISATIONS,2970
INDUSTRIAL AND OCCUPATIONAL HAZARDS,2966
"REACTION AND TRIBUTES, US",2958
MILITARY ESTABLISHMENT,2956
"AIRWAYS IMPROVEMENT PROGRAM, FEDERAL",2954
REORGN AND MODERNIZATION,2938
INTELLECTUALS ROLE,2930
NEW YORK SHAKESPEARE FESTIVAL,2890
Snowmobiles,2052
Chewing Gum,2052
PROTESTANT EPISCOPAL CHURCH,2052
"TREASURE, SUNKEN",2052
ESCORT SERVICES,2052
BOOK REVIEWS (MISC),2052
Nineteen Hundred Sixties,2052
Parking Garages and Lots,2052
RADIUM,2052
Narcolepsy,2052
PILGRIMS,2052
MERCY DEATH (EUTHANASIA),2052
Fireworks,2052
Hitchhiking,2052
FOOD CONTAMINATION (BACTERIAL AND VIRAL),2052
Liver,2050
HEADACHE,2050
Bears,2050
DIURETICS,2050
MIDDLE AGES,2050
Zinc,2050
COUGH DROPS AND SYRUPS,2050
Shrimp,2050
Spas,2050
FIBER GLASS,2050
BARBADOS,2050
"Motorcycles, Motor Bikes and Motorscooters",2050
Brick and Tile,2050
Sociology,2050
Wolves,2050
CIVILIAN CASUALTIES IN S VIETNAM - OTHER CIVILIAN PROBLEMS,2048
COUNTERMEASURES ON SALES AND SMUGGLING,2048
DIVERS AND DIVING,2048
CAMBODIAN AND LAOTIAN INVOLVEMENT,2048
GEMINI 11,2048
TOURNS,2048
Pain-Relieving Drugs,2048
ALPS TUNNELS,2048
INCURSIONS INTO AND OVER CAMBODIA AND LAOS - CAMBODIAN PROTESTS,2048
Ice Skating,2048
DUNE BUGGIES,2048
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES INCLUDING VOTER REGIS DRIVE IN ALABAMA,2048
Typhoid,2048
HUMOR AND WIT,2048
SPINE,2048
DEFECTIONS OF VIETCONG AND N VIETNAMESE,2048
ANGLICAN CHURCHES,2048
"Secretaries, Stenographers and Typists",2048
APPEALS ('69 DRIVE),2048
ARAB-ISRAELI TRUCE - BORDER INDIDENTS - UNEF ROLE,2048
AT SEA,2048
ARTHURIAN LEGEND,2046
CIVIL WAR (US)(1861-65),2046
BEAUTY SHOPS,2046
POLLS,2046
"JOCKEYS, DRIVEN AND TRAINERS",2046
SURPLUS PROPERTY AND PRODUCTS (MILITARY),2046
Calendars,2046
PENICILLIN,2046
Laxatives,2046
Monuments and Memorials,2046
Metric System,2046
MARINER IV,2046
"LT DENGLER ESCAPE FROM N VIETNAM - USSR CHARGES HE IS W GER OFFICER IN US UNIFORM, 1 OF MANY W GER MIL MEN SERVING WITH US IN VIETNAM",2046
MILLINERY,2046
RACIAL SEGREGATION IN THE SOUTH - GOVT GETS 2 CONVICTIONS UNDER FED CONSPIRACY LAW IN CONNECTION WITH '64 SLAYING OF NEGRO L A PENN,2044
NORTHWEST,2044
New York Film Festival,2044
ARTIFICIAL CREATION AND CONTROL,2044
INTERNATIONAL COOPERATION AND VENTURES - PROPOSED TREATY FOR PEACEFUL EXPLORATION,2044
PAY-TV,2044
COMMUNIST CHINA CHARGES INTRUSIONS BY US PLANES,2044
BENEFIT GAMES,2044
"RANGER VII (US LUNAR PROBE, LAUNCHED JULY 28 '64)",2044
2D FEB 1 PAR,2044
Belmont Stakes,2044
DOCUMENTS,2044
LSD-25 (LYSERGIC ACID DIETHYLAMIDE),2044
INDIANAPOLIS 500-MI,2044
Declaration of Independence (US),2044
FOREIGN BANK ACCOUNTS,2044
INTERNATIONAL INCIDENTS AND TERRITORIAL ISSUES,2044
SULPHUR,2044
Premature Babies,2044
CHESAPEAKE BAY CROSSINGS,2044
LUNAR ORBITER 5,2044
"WHEAT PACT, INTERNATL",2044
"MONEY, OLD AND RARE",2044
"DIVORCE REFORM IN NYS, CATHOLIC CITIZENS TO SUPPORT",2044
Venus (Planet),2044
BEATIFICATIONS AND CANONISATIONS,2044
"RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH - S CARMICHAEL CONVICTED ON RIOT CHARGES, SELMA, ALA",2044
SHUBERT THEATER INTERESTS,2044
DAY AND NIGHT,2044
DEPARTMENT AND AGENCIES,2044
MCCALL'S (PUB),2044
RETROSPECTIVE SHOWS AND SERIES,2044
REAPPORTIONMENT AND REDISTRICTING,2044
Auctions,2044
MAIDEN VOYAGES,2044
NEWARK (NJ) EVENING NEWS,2044
"AFTERMATH OF RIOTS IN CHICAGO, PHILADELPHIA AND OTHER NORTHERN CITIES - THREAT OF RIOTING IN BALTIMORE - QUESTION OF COMMON PATTERN IN RIOTS",2044
DIPLOMACY AND DIPLOMATIC IMMUNITY,2044
COPYRIGHTS,2044
INDUS RESEARCH,2042
RIBONUCLEASE,2042
HEXACHLOROPHENE,2042
INTERNAL UNION AFFAIRS,2042
BANKS (GEN),2042
ODD-LOT TRADING,2042
RETROSPECTIVE FILM SHOWS AND SERIES,2042
US FORCES,2042
Proteins,2042
FRAUDS AND SECURITIES ACTS VIOLATIONS,2042
LAOS AND CAMBODIA INCIDENTS - US BUILD-UP IN THAILAND,2042
LIGHTWEIGHT,2042
QUINTUPLETS,2042
ETHICS AND MORALS,2042
"BODY, HUMAN",2042
MITSUBISHI COMPANIES,2042
"BORDER STATES (DELAWARE, KENTUCKY, MARYLAND)",2042
Passover,2042
WAR PROPAGANDA CONTROL,2042
DRIVERS STRIKE,2042
PREFABRICATED HOUSING,2042
Leukemia,2042
"THANT VISITS TO FRANCE, GREAT BRITAIN AND USSR",2042
DOCUMENTARY AND EDUCATIONAL FILMS,2042
Ranches,2042
MILITARY BUILD-UP AND US FINANCING OF WAR COSTS,2042
FIRE ALARMS,2042
DRUG ADDICTION,2040
Titanium,2040
INVESTMENTS AND OFFERINGS,2040
PREMIERES,2040
MILITARY FORCES AND TRAINING,2040
RUBY DEFENSE PLANS - BAIL-BOND PLEA WITHDRAWN,2040
"OCCUPATION, AXIS",2040
TECH DEVELOPMENTS AND RESEARCH,2040
SPARTAN,2040
COMMUNIST CHINESE POLICY AND ACTION,2040
RACIAL SEGREGATION IN THE SOUTH - MISSISSIPPI FED DIST CT CONTEMPT ACTION AGAINST US GOVT OFFICIALS IN CONNECTION WITH GRAND JURY INVESTIGATION,2040
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST",2040
NORTH (INTERNAL AFFAIRS),2040
WESTERN AND COMMUNIST PROPAGANDA PROGRAMS,2040
FED CONTROLS,2040
LONDON TIMES,2040
VIOLATIONS OF SECURITIES ACTS AND TRADING RULES,2040
ARREST WITHOUT WARRANT,2040
2D AP 1 PAR,2040
LEIPZIG FAIR,2040
Leaders and Leadership,2040
METROPOLITAN OPERA,2040
LOYALTY DAY AND WEEK,2040
SECRET SERVICE,2040
ADULT EDUCATION,2040
Expense Accounts,2040
NEW BLDG,2040
Navigation,2038
ANEMIA,2038
SKYBOLT,2038
GEMINI 12,2038
ROUTES,2038
"INTERSTATE COMMERCE, STATE TAXES ON",2038
SCIENCE,2038
VETERANS OF FOREIGN WARS OF THE US (VFW),2038
ATS (APPLICATIONS TECHNOLOGY SATELLITE) 3,2038
Kentucky Derby,2038
DEVELOPMENT AND SETTLEMENT,2038
ENCOUNTER (PUB),2038
CONSERVATISM RISE,2038
"MANAGEMENT, INDUSTRIAL",2038
S VIETNAM SOCIAL AND POLITICAL REFORM AND RURAL RECONSTRUCTION PROGRAMS - CABINET REORGANIZED - VIETCONG CADRES IN VILLAGES,2038
SALYUT,2038
APPEALS,2038
GEN EAST-WEST CONFRONTATION - NATO MINS COUNCIL URGES INITIATIVES BY INDIVIDUAL MEMBERS,2038
PRESIDENTIAL PAPERS,2038
ECONOMIC CONDITIONS AND TREND,2038
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - CONFIDENTIAL SNCC POSITION PAPER ON 'BLACK POWER',2038
BLDG,2038
2D JUNE 16 PAR,2038
OVERSEAS WEEKLY (PUB),2038
US-FRENCH EXCH OF DATA AND MATERIALS,2038
BKLYN-SI DISASTER,2038
HOUSEHOLD EQUIPMENT AND FURNISHINGS,2038
ALITALIA,2038
SAFETY (GEN),2038
ELEMENTARY SCHOOLS,2038
NEW YORK CITY BALLET,2038
S VIETNAM POLITICAL AND ECONOMIC AFFAIRS - ELECTION PREPARATIONS,2036
SOYUZ 4 AND SOYUZ 5,2036
NOBILITY,2036
ARMENIAN,2036
Food Additives,2036
REACTIONS IN SOUTH VIETNAM,2036
Space,2036
"MANAGEMENT, INDUSTRIAL AND INSTITUTIONAL",2036
PAPANDREOU VISIT TO US,2036
ASSAULTS ON TEACHERS,2036
RAMPARTS (PUB),2036
US-USSR-COMMUNIST CHINESE INTERRELATIONS - CHINESE CHARGE US-USSR MIL ENCIRCLEMENT PLOT,2036
NON‐OPERATING,2036
TXATION,2036
COLLS AND UNIVS,2036
COURTS-MARTIAL AND MILITARY JUSTICE,2036
Parties (Social),2036
JOHNSON-WILSON CONF,2036
GEN EAST-WEST CONFRONTATION - US-USSR RIVALRY,2036
SPECIAL SHOWS,2036
ELECTION,2036
Stars and Galaxies,2036
ALLIGATORS,2036
CHEATING AND OTHER ABUSES,2036
"FILM INDUSTRY, RELATIONS WITH",2036
ANTIQUES,2036
REORGN OF LEGIS PROCESSES,2036
MUNSINGER CASE,2036
Exploration and Explorers,2034
1ST FEB 16 PAR,2034
SURROGATES,2034
"MACHINERY, INDUSTRIAL EQUIPMENT AND SUPPLIES",2034
APPEALS ('61 DRIVE),2034
POLITICS AND GOVERNMNET,2034
FED-LOCAL GOVT RELATIONS - STATES-RIGHTS ISSUES,2034
MISLEADING AND DECEPTIVE AD,2034
COMMUNIST CHINESE-US RELATIONS - MCNAMARA PLEADS FOR 'REALISTIC RELATIONSHIPS',2034
CHEMICAL WARFARE BY US OPPOSED BY 22 US SCIENTISTS,2034
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - HOMES OF 4 NEGRO RIGHTS LEADERS BOMBED, NC - FED CONSPIRACY TRIAL AGAINST 3 SUSPECTS IN CIVIL RIGHTS SLAYING BEGINS",2034
PARKS,2034
FISH FLOUR,2034
GIFTS TO NEW YORK CITY,2034
Newsdealers and Newsstands,2034
"WELFARE CONFERENCE, NYS",2034
TITO VISITS ABROAD,2034
UNIVERSE,2034
MISCELLANEOUS CONCERTS,2032
MARGIN TRADING,2032
EMBARGOES,2032
Furniture,2032
MITCHELL‐LAMA PROJECTS,2032
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - SEN SUBCOM OPENS HEARING ON URBAN PROBLEMS,2032
Windmills,2032
REGISTRY TRANSFERS,2032
Veterinary Medicine,2032
ARCHAEOLOGY,2032
LONG ISLAND STAR-JOURNAL,2032
"COMMEM NAMINGS, MEMORIALS, COINS",2032
VENUS 4,2032
US BASES AND FORCES,2032
HOSPITALS AND MEDICAL CARE,2032
MARCUS CASE,2032
PASSAMAQUODDY BAY TIDAL POWER PROJECT (PROPOSED),2032
VIOLATIONS,2032
States (US),2030
ACCIDENTS AND SAFELY,2030
SURROGATES CT,2030
NUREMBERG TRIAL OF LEADING GERMAN WAR CRIMINALS (OCT '45-OCT '46),2030
NEW FED CIVIL RIGHTS LEGIS - PROPOSED CIVIL RIGHTS ACT OF '66,2030
Swimming Pools,2030
MARXISM,2030
LEND-LEASE AGREEMENTS (WORLD WAR II),2030
WESTERN ED,2030
LAW VIOLATIONS,2030
TYPEWRITING AND TYPEWRITERS,2030
SUP CT DECISIONS AFFECTING INDIVIDUAL FREEDOMS AND NATL SECURITY,2030
RESPIRATION AND RESPIRATORS,2030
US FINANCING OF WAR COSTS AND AID TO S VIETNAM - US MILITARY BUILD-UP,2030
Smallpox,2030
NAZISM,2030
SOC SERVICES,2030
MERCHANT MARINE,2030
MIL FORCES,2028
UNITED STATES POLICY AND ACTION,2028
2D O 22 PAR,2028
Autopsies,2028
ERP (EUROPEAN RECOVERY PROGRAM) (APR 1948-DEC 1951),2028
NEW YORK MIRROR,2028
US POLICY AND CONTINUED DEBATE ON IT - SEN FOREIGN RELATIONS COMMITTEE HEARINGS - N VIETNAM AND COMMUNIST CHINA STAND,2028
VIKING PROJECT,2028
RURAL ELECTRIFICATION,2028
FOOD-FOR-PEACE PLAN,2028
THIRD-PARTY MOVEMENTS,2028
NYC STRIKE,2028
BRANCHING,2028
JOHNSON--DOUGLAS-HOME CONFS,2028
VISTA (VOLUNTEERS IN SERVICE TO AMERICA) PROGRAM,2026
PRO,2026
42D ST SHUTTLE,2026
QUEENS DISTS,2026
"EMPLOYES, CIVIL",2026
EQUAL TIME,2026
SATURDAY EVENING POST,2026
COMMUNISM ISSUE - CONSERVATISM ISSUE,2026
"DISARMAMENT AND PEACE, WORLD CONGRESS FOR GENERAL",2026
UNITED NATIONS,2026
SCIENTISTS IN GOVT,2026
SELF INCRIMINATION,2026
